ID y id mu# sex# age
"1" -6.902195608453099 "1" mu m 0.47619
"2" -4.072231526562237 "2" mu m 0.952381
"3" -1.4182655771603612 "3" mu m 1.42857
"4" 0.7253107621481159 "4" mu m 1.90476
"5" 1.8690634659324779 "5" mu m 2.38095
"6" -1.1400515320669569 "6" mu m 2.85714
"7" 1.2535429254087245 "7" mu m 3.33333
"8" -1.2102765933298527 "8" mu m 3.80952
"9" 4.099297901473859 "9" mu m 4.28571
"10" 3.1213006328954096 "10" mu m 4.7619
"11" 0.2354134870813407 "11" mu m 5.2381
"12" 0.875423207798027 "12" mu m 5.71429
"13" -0.41082218158911754 "13" mu m 6.19048
"14" 1.7441186295106097 "14" mu m 6.66667
"15" -5.5387421426868695 "15" mu m 7.14286
"16" -0.4504493887415628 "16" mu m 7.61905
"17" 3.0559101253132113 "17" mu m 8.09524
"18" -3.4205518939786783 "18" mu m 8.57143
"19" -0.899490104300863 "19" mu m 9.04762
"20" 0.4922914180686895 "20" mu m 9.52381
"21" -4.714426660551341 "21" mu m 10
"22" -1.925204934768527 "22" mu m 10.4762
"23" 4.415823794905308 "23" mu m 10.9524
"24" -1.321453140968757 "24" mu m 11.4286
"25" -4.351088045359848 "25" mu m 11.9048
"26" 0.9398370988446073 "26" mu m 12.381
"27" 1.4974027828733354 "27" mu m 12.8571
"28" 1.009618318499427 "28" mu m 13.3333
"29" -0.7757860899511582 "29" mu m 13.8095
"30" -2.9209425710036596 "30" mu m 14.2857
"31" 3.358756228986173 "31" mu m 14.7619
"32" -0.5033735661885221 "32" mu m 15.2381
"33" -3.3293073045233514 "33" mu m 15.7143
"34" -0.7301306252396893 "34" mu m 16.1905
"35" -2.3310650329210594 "35" mu m 16.6667
"36" -1.3179782537911242 "36" mu m 17.1429
"37" -6.2079385660638 "37" mu m 17.619
"38" 1.4417499090909418 "38" mu m 18.0952
"39" -3.3124734392873076 "39" mu m 18.5714
"40" -5.078661531198403 "40" mu m 19.0476
"41" -2.3132281170478346 "41" mu m 19.5238
"42" -1.1508921171190516 "42" mu m 20
"43" 1.9533600408935605 "43" mu m 20.4762
"44" -3.255522929232297 "44" mu m 20.9524
"45" -2.9296381508749856 "45" mu m 21.4286
"46" 0.4370725196716072 "46" mu m 21.9048
"47" -0.6857150154673861 "47" mu m 22.381
"48" 5.363202728481162 "48" mu m 22.8571
"49" -1.3742407945165966 "49" mu m 23.3333
"50" -1.2920499052261496 "50" mu m 23.8095
"51" 5.587068127871888 "51" mu m 24.2857
"52" -2.025476999049992 "52" mu m 24.7619
"53" 2.6339973062858446 "53" mu m 25.2381
"54" -2.5100680825154056 "54" mu m 25.7143
"55" 0.8938415003405678 "55" mu m 26.1905
"56" -5.287150082398937 "56" mu m 26.6667
"57" -0.8526392353813523 "57" mu m 27.1429
"58" 0.40135686999407477 "58" mu m 27.619
"59" 2.1870652146590412 "59" mu m 28.0952
"60" -9.334451784778944 "60" mu m 28.5714
